2015.-1.1. 4:16:59	 -30
1942.8.16. 20:44:14	 -16
1959.2.27. 24:46:6	 -24
2014.6.7. 22:51:-1	 44
191988.10.25. -1:60:1	 24
1961.10.12. 8:3:29	 -30
1971.10.-1. 19:65:10	 49
2006.12.2. 9:23:3	 -27
2006.2.14. 5:48:53	 -9
1991.1.-1. 11:54:-1	 -18
1931.12.0. 11:65:30	 cicakutya
1961.7.12. 2:32:40	 30
1931.0.17. 16:25:59	 cicakutya
2002.7.25. 12:40:7	 7
1984.2.31. 4:44:14	 -3
1960.2.19. 7:35:10	 -12
1925.10.19. 16:22:39	 kutya
1940.10.21. 22:43:55	 1
1941.6.30. 3:49:15	 20
1978.2.2. 17:62:13	 -6
1965.7.7. 12:41:65	 -3
1974.4.19. 11:42:61	 -2
2014.-1.7. 25:35:39	 -10
2002.9.15. 18:13:30	 36
1990.2.17. 24:28:50	 28
1925.12.27. 4:43:37	 kutya
1991.12.31. 17:22:53	 -10
1927.5.26. 5:58:26	 kutya
1923.0.15. 21:0:19	 cica
2001.11.17. 15:65:63	 28
1940.13.22. 18:45:56	 3
2009.0.24. 9:14:17	 -8
1982.9.13. 15:50:38	 22
2001.2.0. 11:56:43	 19
1960.13.30. 16:56:6	 25
1957.2.6. 1:53:6	 25
1976.8.15. 18:17:5	 -26
2005.8.34. 1:17:23	 29
1970.0.24. 1:2:36	 -13
1998.11.7. 3:38:47	 2
1955.0.4. 26:58:17	 -3
1965.3.7. 6:27:22	 -10
1938.5.13. 21:16:21	 cicakutya
2008.13.9. 20:65:41	 -19
2002.5.17. 9:38:33	 14
1922.7.12. 17:41:45	 cica
1986.1.28. 5:55:13	 28
2012.6.23. 13:18:64	 12
1949.10.29. 4:10:19	 -5
1961.10.5. 25:46:59	 22
1948.12.18. 16:48:7	 -2
1970.1.2. 1:22:48	 -2
1991.12.12. 26:58:56	 -2
1947.13.1. 11:23:24	 -29
1922.4.7. 26:10:-1	 cica
1944.0.21. 15:48:17	 -16
2010.10.11. 14:17:59	 8
2018.3.32. 4:10:14	 -30
2012.12.19. 8:61:38	 31
1937.7.14. 19:61:24	 cicakutya
2016.1.2. 14:33:15	 11
1927.4.34. 5:34:41	 kutya
1933.8.17. 12:31:41	 cicakutya
1993.7.20. 19:12:42	 4
1998.9.23. -1:44:43	 20
2004.7.19. 23:28:19	 -14
2014.7.15. 9:51:64	 39
1922.0.12. 9:26:25	 cica
1937.7.0. 4:51:58	 cicakutya
2017.9.1. 5:48:24	 23
1972.1.-1. 18:39:48	 -11
1934.11.19. 19:58:26	 cicakutya
1966.2.1. 17:59:63	 4
2016.11.24. 11:59:47	 7
1937.-1.2. 4:62:64	 cicakutya
1980.10.23. 20:57:26	 41
2010.9.32. 25:61:23	 12
1983.0.26. 5:61:-1	 -15
2010.7.34. 24:14:13	 30
1921.7.22. 15:5:43	 cica
1948.12.-1. 18:23:1	 8
2009.12.5. 15:4:32	 -19
2007.12.22. 21:52:21	 24
2014.9.34. 17:8:1	 21
2002.12.22. 8:33:64	 -12
1959.8.27. 19:0:19	 15
1920.13.25. 21:26:10	 cica
1990.0.20. 10:29:29	 30
1972.6.11. 10:42:10	 10
1955.10.14. 17:15:63	 40
2014.10.8. 17:62:42	 17
1991.5.12. 23:36:30	 3
1920.11.10. 25:49:52	 cica
1947.7.13. 10:17:47	 -3
1947.8.6. 22:16:57	 50
1958.13.25. -1:5:4	 35
1988.12.0. 18:23:64	 23
1958.1.13. 12:25:39	 30
1923.0.11. 18:63:18	 cica
1938.13.3. 19:42:42	 cicakutya
1948.8.-1. 0:52:8	 7
1951.4.26. 4:58:3	 -5
1929.5.22. 20:5:7	 kutya
1980.4.23. 22:63:-1	 47
1928.10.1. 4:41:16	 kutya
1972.12.10. 20:6:64	 -26
2010.8.25. 0:34:54	 -4
1942.5.7. 13:20:13	 31
1986.1.5. 24:59:47	 -23
1968.1.17. 22:54:8	 45
2003.1.26. 20:46:46	 20
1996.7.-1. 25:27:51	 16
1988.10.12. 19:48:26	 15
1983.11.19. 15:22:52	 31
1996.1.12. 8:47:49	 -8
1969.8.23. 19:37:24	 12
2006.12.16. 0:11:4	 -13
2003.0.8. 10:31:1	 49
1990.0.3. 26:24:18	 41
1983.9.20. 19:31:36	 11
2014.5.34. 23:19:64	 30
2018.1.24. 24:20:63	 49
1998.5.30. 10:20:20	 2
1947.-1.8. 16:6:46	 48
2015.3.23. 17:43:34	 -23
1982.10.14. 10:-1:17	 20
2016.3.0. 1:4:52	 24
1984.11.33. 16:36:54	 -29
1963.3.-1. 21:53:57	 -13
1996.1.1. 19:17:12	 40
1971.9.22. 13:23:36	 46
1938.9.18. 10:32:21	 cicakutya
1937.-1.12. 17:56:59	 cicakutya
1926.10.16. 5:7:64	 kutya
1988.-1.17. 14:5:2	 -28
2001.7.18. 13:59:42	 0
2016.3.11. 12:22:20	 29
1933.9.2. 9:24:-1	 cicakutya
1934.13.14. 0:61:4	 cicakutya
1923.11.21. -1:32:57	 cica
1986.7.8. 24:9:3	 48
2007.-1.22. 8:55:18	 27
1959.4.33. 5:41:29	 -19
1947.2.26. 7:42:55	 -9
1962.2.21. 19:37:27	 -4
1932.11.30. 6:59:17	 cicakutya
2007.11.14. 10:19:56	 44
1927.12.25. -1:39:52	 kutya
1942.7.12. 22:38:40	 -6
1996.1.14. 22:27:0	 15
1927.0.6. 16:24:37	 kutya
2012.4.7. 26:2:23	 45
1975.10.6. 16:34:34	 -16
1940.8.25. 0:11:12	 18
2006.13.1. 6:64:63	 48
1948.9.20. 18:7:51	 -29
1949.5.-1. 20:10:23	 -2
1957.8.25. 14:59:19	 21
1983.6.29. 15:51:9	 -22
1987.8.6. 7:9:18	 -7
1943.-1.16. 21:42:7	 -20
1923.8.11. 12:-1:5	 cica
1992.3.21. 15:42:42	 20
2017.6.8. 26:18:51	 -8
2016.3.25. 11:62:10	 33
1950.7.27. 10:7:45	 23
1947.6.23. 14:0:49	 38
1982.-1.1. 25:29:1	 -1
2007.6.23. 9:13:10	 -26
1983.8.16. 23:10:15	 -14
1993.13.18. 13:26:30	 32
1980.3.14. 25:4:2	 -13
1982.4.4. 25:50:25	 27
1939.6.14. 14:5:4	 cicakutya
1974.9.15. 6:44:52	 29
1996.9.2. 17:31:27	 2
2016.-1.3. 6:44:3	 37
1949.2.26. 14:59:6	 0
1960.0.16. 16:14:8	 7
1942.4.1. 1:22:39	 -14
1982.12.-1. 10:55:55	 -27
2011.9.2. 24:16:3	 -20
1970.1.11. 13:44:55	 41
1961.0.32. 0:8:65	 12
1996.2.3. 23:38:5	 21
1965.9.26. 2:31:4	 36
1959.2.34. 26:31:34	 36
1997.8.15. -1:30:10	 40
1932.5.32. 24:58:33	 cicakutya
1951.6.19. 12:34:6	 23
1947.10.-1. 4:36:55	 15
1971.13.22. 14:18:25	 -9
1921.12.-1. 15:23:65	 cica
1966.-1.14. 10:50:48	 19
1931.9.8. -1:42:19	 cicakutya
1985.3.5. 6:29:24	 17
2014.4.19. 12:29:54	 -10
1999.1.14. 1:31:33	 39
1949.3.13. 4:7:55	 -18
1990.5.7. 20:5:40	 -28
1931.2.7. 16:5:4	 cicakutya
1947.4.26. 24:52:55	 41
2005.5.30. 5:51:40	 37
1976.1.0. 5:34:39	 12
2004.3.11. 11:20:41	 -12
1931.3.22. 21:57:36	 cicakutya
1941.1.22. 4:65:27	 16
1969.9.33. 10:43:11	 -11
1996.12.17. 13:1:35	 20
1976.7.32. 19:25:10	 -23
1939.-1.4. 1:-1:28	 cicakutya
1942.0.15. -1:59:50	 17
1972.7.14. 22:19:19	 29
1980.0.22. 23:30:4	 48
1967.9.25. 0:16:5	 -29
1925.7.6. 18:29:56	 kutya
1976.7.11. 18:64:31	 5
1989.6.21. 1:28:52	 40
1958.3.2. 19:5:29	 38
1988.1.14. 4:-1:59	 44
1952.5.34. 14:55:3	 -16
1963.5.11. 23:25:27	 10
2009.2.25. 10:33:28	 48
1945.6.22. 14:57:62	 0
1958.11.3. 4:5:44	 -25
1946.4.24. 11:16:35	 1
2016.8.19. 15:23:46	 35
2001.3.32. 20:18:23	 35
1977.10.28. 26:31:8	 41
1974.13.19. 14:21:27	 25
1998.3.3. 25:50:10	 46
2008.6.10. 9:25:1	 -25
1989.6.28. -1:12:5	 -23
1966.10.29. 0:36:65	 -18
1952.4.5. 7:37:49	 1
1975.8.28. 8:40:28	 6
2010.1.7. 9:39:3	 19
1965.12.29. 9:27:34	 -18
1922.2.16. 13:1:65	 cica
2014.10.29. 0:56:7	 13
1928.1.32. 16:23:64	 kutya
2017.8.21. 15:34:24	 14
1993.12.31. -1:39:41	 36
1928.5.31. 16:25:-1	 kutya
2013.10.31. 6:39:43	 12
1939.0.16. 15:15:13	 cicakutya
1924.1.31. 6:43:18	 cica
1975.12.14. 0:2:29	 -28
1937.8.10. 10:11:50	 cicakutya
1953.4.7. 10:43:59	 -3
1958.8.30. 0:35:45	 49
1983.3.22. 11:31:49	 -29
2001.3.28. 12:37:43	 -16
2017.5.31. 18:63:24	 0
1946.5.29. 11:41:0	 -30
1971.1.34. 10:27:34	 -12
1994.8.9. 9:2:18	 18
1940.2.24. 14:24:6	 32
1920.9.4. 1:51:58	 cica
1935.5.31. 0:19:59	 cicakutya
1946.6.11. 6:0:0	 40
1970.1.15. 15:35:34	 3
1981.1.21. 23:49:57	 -16
1981.9.11. 24:29:64	 -30
2001.13.10. 4:4:13	 3
1958.-1.26. 5:54:0	 -29
1978.0.17. 16:62:36	 13
1967.-1.7. 1:19:40	 -29
2007.10.20. 22:38:33	 18
1959.8.19. 17:26:10	 -7
1964.11.18. 11:3:10	 -5
2015.11.14. 26:6:11	 48
1970.13.5. 3:64:49	 -27
1928.9.3. 7:65:31	 kutya
1941.12.7. 14:34:51	 7
1942.6.23. 23:20:59	 -28
1994.1.3. 16:28:33	 -13
1927.10.8. 11:0:39	 kutya
2007.3.30. 10:20:61	 34
1996.5.10. 17:28:58	 31
1993.6.12. 19:11:8	 47
1969.11.24. 25:35:35	 28
1925.8.4. 22:4:39	 kutya
1932.1.13. 12:52:25	 cicakutya
2002.8.4. 17:65:7	 -21
1923.0.9. 24:64:53	 cica
1942.9.0. 7:33:21	 -21
1946.12.11. 19:14:48	 -27
1967.13.30. 7:2:33	 10
1927.10.14. 13:58:65	 kutya
2017.8.23. 7:0:34	 -18
1934.1.27. 8:31:63	 cicakutya
1932.4.21. 11:13:12	 cicakutya
2011.5.27. 15:15:49	 20
1935.-1.4. -1:63:33	 cicakutya
1998.10.12. 22:1:2	 8
1974.-1.22. 17:43:43	 1
1959.10.20. 11:54:6	 42
1965.0.4. 4:61:43	 17
1942.6.1. 12:65:62	 -1
1959.0.33. 5:35:11	 9
2002.12.21. 26:27:3	 -13
1936.8.10. 17:18:8	 cicakutya
1924.2.4. 3:49:15	 cica
1942.2.23. 5:7:23	 16
1920.10.33. 8:40:10	 cica
1983.5.0. 14:39:5	 2
1944.4.17. 13:6:21	 -8
1985.0.34. 24:21:21	 -9
1926.11.22. 9:29:37	 kutya
1973.6.31. 21:61:58	 20
2006.11.16. 0:13:42	 -1
1940.2.-1. 9:31:44	 -18
1969.5.19. 3:17:48	 15
1979.6.18. 9:65:19	 16
1950.9.16. 7:6:63	 -1
2004.9.16. 13:37:23	 26
1932.-1.20. 3:42:57	 cicakutya
2010.3.21. 19:47:46	 -17
1994.3.31. 22:6:28	 18
1974.3.10. 20:39:48	 17
1927.7.10. 17:-1:5	 kutya
1968.10.19. 12:61:42	 8
1962.12.3. 15:22:20	 31
1944.13.20. 20:15:6	 36
1970.1.6. 10:8:33	 9
2017.5.10. 9:29:10	 -10
1987.2.31. 24:1:22	 -23
2011.2.11. 22:61:51	 17
1954.6.8. 1:39:34	 -17
1965.2.19. 13:37:55	 15
1991.8.13. 4:23:-1	 8
2017.13.21. 0:28:20	 32
1956.12.3. 17:41:4	 0
1978.10.18. 23:21:9	 31
1976.11.10. -1:17:4	 -3
1921.9.5. 7:17:45	 cica
2013.4.12. 8:31:50	 -4
2015.13.6. 11:48:-1	 -16
2003.9.33. 23:36:25	 -11
1977.6.19. 23:19:0	 -22
2017.12.28. 19:22:10	 49
1998.11.11. 19:54:1	 38
1929.3.9. 17:23:20	 kutya
1988.11.13. 26:-1:55	 -7
1945.7.16. 3:5:25	 28
1995.5.29. 26:54:54	 24
1933.11.4. 8:3:49	 cicakutya
2017.-1.10. 26:34:12	 -13
2010.3.4. 26:54:12	 -9
1990.8.11. 17:9:62	 47
1935.10.20. 24:13:11	 cicakutya
2004.9.33. 8:64:25	 20
1935.-1.23. 18:58:18	 cicakutya
1999.8.3. 7:47:29	 -1
1921.9.9. 8:14:47	 cica
1991.9.28. 15:6:48	 -4
2014.10.21. 12:50:4	 -11
1974.13.25. 1:26:19	 43
1935.3.16. 3:43:61	 cicakutya
1931.9.19. 26:57:31	 cicakutya
1976.9.24. 5:35:49	 -14
1924.9.14. 17:59:53	 cica
1983.9.28. -1:3:54	 4
1970.0.30. 26:25:31	 32
1985.-1.26. 24:8:57	 40
2018.6.5. 12:43:9	 12
1939.-1.0. 18:12:17	 cicakutya
1931.5.33. 2:43:58	 cicakutya
1976.2.0. 13:37:20	 50
1952.11.28. 21:45:41	 14
1954.4.11. 1:40:44	 44
1927.10.26. 21:35:42	 kutya
1969.9.16. 21:25:12	 13
1972.10.3. 26:58:34	 -6
1986.5.11. 14:26:22	 21
1950.6.22. 1:32:54	 41
1975.9.7. 7:36:60	 46
2004.13.11. 13:3:31	 38
1974.2.26. -1:15:28	 -18
2015.7.23. 26:64:17	 38
1935.7.5. 19:1:6	 cicakutya
1939.6.24. 4:15:37	 cicakutya
1938.2.24. 23:49:47	 cicakutya
